company,domain,industry,team_size
Beck Insurance Agency,beck-insurance.com,insurance,5
Westgate Insurance Agency,westgateagency.com,insurance,7
Jacobs Insurance Agency,jacobsinsurance.com,insurance,8
Shine Insurance Agency,shineinsurance.com,insurance,11
Janus Insurance Agency,janusagents.com,insurance,12
MMA Insurance Agency,mmains.net,insurance,13
Allen-Harmon-Mason-Selinger Insurance Agency,allenharmon.com,insurance,14
Moon and Adrion Insurance Agency,moonadrion.com,insurance,17
Trimble Insurance Agency,trimbleins.com,insurance,20
Burkhart Insurance Agency,burkhartinsurance.com,insurance,21
Minor Insurance Agency,minorinsurance.com,insurance,41
Michigan Community Insurance Agency,michigancommunity.com,insurance,47
